trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
347,False,"{'a': 0.5, 'e': 0.7567926433898263}",20,7,-13.328297423500185,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.3507691132091307}",25,1,14.318608463326736,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.14113492938566014}",20,10,15.25175382912241,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.5984842190140996}",20,0,-126.3387378057402,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
351,False,"{'a': 0.5, 'e': 0.9093036989610448}",20,0,-48.015785260732315,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
352,False,"{'a': 0.5, 'e': 0.9974939203271522}",25,0,-80.43181481624578,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
353,False,"{'a': 0.5, 'e': 0.8414628411805024}",30,0,-71.01540219743049,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
354,False,"{'a': 0.5, 'e': 0.47941231147032193}",35,0,14.87650877567031,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
355,False,"{'a': 0.5, 'e': 1.50721766814562e-05}",30,15,27.89312261061806,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,14.953504337390276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,17,15.561068938088797,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,5,26.780053476999854,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,15.092442378819902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,7,25.74411155775128,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,18,33.24871202652472,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,20.24553628344202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,34.24457537224916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,18,30.695677417376068,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,25.716495043625414,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,14,19.288707075864927,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,7,22.72573638978688,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,15,8.219421711772476,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,16.053669535646847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,12,18.598190809858355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,15,22.093241090757317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,12,16.06802845008952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,8,23.90717574282361,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,8,38.474691362299325,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,6,25.072792867783036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,11,32.92750057411206,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",30,22,13.889173499452156,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,16,26.30867546693008,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,13,14.806026458214063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
